T,candidate_id,final_fidelity,error,elapsed_s
12.0,pw_rand_22_T12p0,0.43329694867134094,,0.8251001834869385
12.0,pw_rand_23_T12p0,0.462920606136322,,0.8236351013183594
12.0,pw_rand_24_T12p0,0.42179417610168457,,0.754817008972168
12.0,pw_rand_25_T12p0,0.22093528509140015,,0.9128820896148682
12.0,pw_rand_26_T12p0,0.7288956642150879,,0.820030927658081
12.0,pw_rand_27_T12p0,0.40209996700286865,,0.8580021858215332
12.0,pw_rand_28_T12p0,0.5458057522773743,,0.8775496482849121
12.0,pw_rand_29_T12p0,0.3786758780479431,,0.8141500949859619
12.0,pw_rand_30_T12p0,0.2319246232509613,,0.8607962131500244
12.0,pw_rand_31_T12p0,0.0022158725187182426,,0.831517219543457
12.0,pw_rand_32_T12p0,0.22440341114997864,,0.8727188110351562
12.0,pw_rand_33_T12p0,0.36665040254592896,,0.7767910957336426
12.0,pw_rand_34_T12p0,0.2057221233844757,,0.7930212020874023
12.0,pw_rand_35_T12p0,0.19982028007507324,,0.7724828720092773
12.0,pw_rand_36_T12p0,0.602077841758728,,0.8547148704528809
12.0,pw_rand_37_T12p0,0.6240363121032715,,0.872797966003418
12.0,pw_rand_38_T12p0,0.16920940577983856,,1.7483017444610596
12.0,pw_rand_39_T12p0,0.23629911243915558,,0.7823750972747803
12.0,pw_rand_40_T12p0,0.6221609115600586,,0.7655842304229736
12.0,pw_rand_41_T12p0,0.30062389373779297,,0.7658400535583496
12.0,pw_rand_42_T12p0,0.3910481929779053,,0.8660609722137451
12.0,pw_rand_43_T12p0,0.45296403765678406,,0.8465240001678467
12.0,pw_rand_44_T12p0,0.3852105140686035,,0.8144640922546387
12.0,pw_rand_45_T12p0,0.6839174628257751,,0.8343501091003418
12.0,pw_rand_46_T12p0,0.7320229411125183,,0.7860500812530518
12.0,pw_rand_47_T12p0,0.45652297139167786,,0.7955069541931152
14.0,alpha_0.45_T14p0,0.8524056673049927,,0.9650070667266846
14.0,alpha_0.52_T14p0,0.856987714767456,,0.8600337505340576
14.0,alpha_0.6_T14p0,0.8585487008094788,,0.8929421901702881
14.0,alpha_0.7_T14p0,0.8555998206138611,,0.8925471305847168
14.0,alpha_0.85_T14p0,0.843019962310791,,0.9092752933502197
14.0,alpha_1.0_T14p0,0.8239520192146301,,0.8466489315032959
14.0,alpha_1.04_T14p0,0.8182392120361328,,0.8858640193939209
14.0,smooth_varY_-0.12_T14p0,0.7083991765975952,,0.8417601585388184
14.0,smooth_varY_-0.08_T14p0,0.7315858602523804,,0.8051340579986572
14.0,smooth_varY_-0.04_T14p0,0.742858350276947,,0.8097329139709473
14.0,smooth_varY_0.04_T14p0,0.7311577796936035,,0.767059326171875
14.0,smooth_varY_0.08_T14p0,0.708957314491272,,0.7942869663238525
14.0,smooth_varY_0.12_T14p0,0.6759741306304932,,0.8566539287567139
14.0,smooth_varY_0.16_T14p0,0.6322355270385742,,0.8047769069671631
14.0,pw_rand_0_T14p0,0.8373209238052368,,1.9500598907470703
14.0,pw_rand_1_T14p0,0.5124350786209106,,0.8472578525543213
14.0,pw_rand_2_T14p0,0.7454808950424194,,0.8099629878997803
14.0,pw_rand_3_T14p0,0.9079509377479553,,0.832115888595581
14.0,pw_rand_4_T14p0,0.8890776634216309,,0.7709228992462158
14.0,pw_rand_5_T14p0,0.9669816493988037,,0.8423411846160889
14.0,pw_rand_6_T14p0,0.5373915433883667,,0.8714847564697266
14.0,pw_rand_7_T14p0,0.7552388906478882,,0.7546539306640625
14.0,pw_rand_8_T14p0,0.5052704215049744,,0.800117015838623
14.0,pw_rand_9_T14p0,0.2199746072292328,,0.8488788604736328
14.0,pw_rand_10_T14p0,0.7885039448738098,,0.8210182189941406
14.0,pw_rand_11_T14p0,0.85212242603302,,0.8443498611450195
14.0,pw_rand_12_T14p0,0.7294303178787231,,0.8993551731109619
14.0,pw_rand_13_T14p0,0.6582695245742798,,0.7675988674163818
14.0,pw_rand_14_T14p0,0.7405702471733093,,0.7840099334716797
