protocol,family,kind,params_json,eta,alpha,N,F_ad,F_gs,final_energy
sine_a-0.1_eta1,sine,sine,"{""coeffs"": [-0.1]}",1.0,0.0,0.9218643960089473,nan,0.875488262778384,-11.695703163727725
mixed_p0.7_q0.5_eta2,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.5}",2.0,0.0,0.9443712490682332,nan,0.8746409638032959,-11.88358986457569
mixed_p1.6_q0.25_eta2,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.25}",2.0,0.0,0.9474482607066644,nan,0.870436095748487,-11.909276688215261
target_eta1_alpha0,target+CD,smooth,{},1.0,0.0,0.9442693248980364,nan,0.8700562347038995,-11.88273900390563
mixed_p1.6_q0.25_eta1.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.25}",1.5,0.0,0.9494570005735831,nan,0.8690946136627267,-11.926045603241407
mixed_p0.55_q0.5_eta1,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.5}",1.0,0.0,0.9338921755173096,nan,0.85932808766573,-11.796110795323319
sine_a0.03_eta1,sine,sine,"{""coeffs"": [0.03]}",1.0,0.0,0.9470731041542975,nan,0.8590235503646865,-11.906144889791907
baseline_OI+AH+CD,baseline,smooth,{},0.0,0.0,0.9500258105617264,nan,0.8575628953078517,-11.930794016171465
sine_a0.03_eta0.5,sine,sine,"{""coeffs"": [0.03]}",0.5,0.0,0.9475039598713788,nan,0.8551930730074909,-11.909741663583901
mixed_p0.7_q0.75_eta0.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.75}",0.5,0.0,0.9416121155113736,nan,0.8542734443771495,-11.860556679979348
target_eta-0.5_alpha-0.03,target+CD,smooth,{},-0.5,-0.03,0.9467204069100537,nan,0.8526744942618127,-11.903200581165349
target_eta0.5_alpha0.03,target+CD,smooth,{},0.5,0.03,0.934588315745897,nan,0.8509558492072561,-11.801922158223867
sine_a0.03_eta1.5,sine,sine,"{""coeffs"": [0.03]}",1.5,0.0,0.9432315092195226,nan,0.8485137659256283,-11.874075342068473
sine_a-0.03_eta1.5,sine,sine,"{""coeffs"": [-0.03]}",1.5,0.0,0.924515321721458,nan,0.8483611576259191,-11.717833031684151
target_eta1.5_alpha0,target+CD,smooth,{},1.5,0.0,0.9338987217868701,nan,0.8459641637318096,-11.796165443433711
sine_a-0.06_eta1.5,sine,sine,"{""coeffs"": [-0.06]}",1.5,0.0,0.9145014888861027,nan,0.845096632154027,-11.634237781414292
power_p0.85_eta0.5,power,power,"{""p"": 0.85}",0.5,0.0,0.9394153717095933,nan,0.8445344158805136,-11.842218312352497
